es,med,p,nr,r,lr,l
11,1,9,2,R2,44.96,Oscuridad
11,1,10,11,R1,34.77,Luz
11,1,10,11,R2,71.63,Luz
11,1,10,11,R3,27.01,Luz
11,1,10,11,R4,33.06,Luz
11,1,10,11,R5,33.95,Luz
11,1,10,11,R6,24.47,Luz
11,1,10,11,R7,20.6,Luz
11,1,10,11,R8,32.95,Luz
11,1,10,11,R9,48.27,Luz
11,1,10,11,R10,16.73,Luz
11,1,10,11,R11,15.27,Luz
11,1,11,7,R1,17.52,Luz
11,1,11,7,R2,23.33,Luz
11,1,11,7,R3,23.39,Luz
11,1,11,7,R4,29.12,Luz
11,1,11,7,R5,20.07,Luz
11,1,11,7,R6,33.74,Luz
11,1,12,1,R1,15.08,Luz
11,1,13,1,R1,41.45,Luz
11,1,14,0,0,0,Luz
11,1,15,2,R1,23.35,Luz
11,1,15,2,R2,18.21,Luz
11,1,16,1,R1,31.72,Luz
11,1,17,2,R1,16.56,Luz
11,1,17,2,R2,39.71,Luz
