"","es","med","p","nr","r","lr","l"
"117","10","1","8",10,"R3",25.63,"Luz"
"118","10","1","8",10,"R4",27.2,"Luz"
"119","10","1","8",10,"R5",28.15,"Luz"
"120","10","1","8",10,"R6",31.99,"Luz"
"121","10","1","8",10,"R7",26.25,"Luz"
"122","10","1","8",10,"R8",45.71,"Luz"
"123","10","1","8",10,"R9",25.7,"Luz"
"124","10","1","8",10,"R10",26.37,"Luz"
"125","11","P4","1",4,"R1",23.47,"Oscuridad"
"126","11","P4","1",4,"R2",37.3,"Oscuridad"
"127","11","P4","1",4,"R3",34.09,"Oscuridad"
"128","11","P4","1",4,"R4",34.1,"Oscuridad"
"129","11","P4","2",5,"R1",30.32,"Oscuridad"
"130","11","P4","2",5,"R2",31.32,"Oscuridad"
"131","11","P4","2",5,"R3",23.84,"Oscuridad"
"132","11","P4","2",5,"R4",27.36,"Oscuridad"
"133","11","P4","2",5,"R5",20.15,"Oscuridad"
"134","11","P4","3",5,"R1",31.44,"Oscuridad"
"135","11","P4","3",5,"R2",33.83,"Oscuridad"
"136","11","P4","3",5,"R3",56.39,"Oscuridad"
"137","11","P4","3",5,"R4",22.76,"Oscuridad"
"138","11","P4","3",5,"R5",35.04,"Oscuridad"
"139","11","P4","4",3,"R1",18.71,"Oscuridad"
"140","11","P4","4",3,"R2",19.35,"Oscuridad"
"141","11","P4","4",3,"R3",21.12,"Oscuridad"
"142","11","P4","5",0,"0",0,"Oscuridad"
"143","11","P4","6",1,"R1",26.6,"Oscuridad"
"144","11","P4","7",0,"0",0,"Oscuridad"
"145","11","P4","8",0,"0",0,"Oscuridad"
"146","11","P4","9",1,"R1",17.1,"Luz"
"147","11","P4","10",2,"R1",23.29,"Luz"
"148","11","P4","10",2,"R2",22.21,"Luz"
"149","11","P4","11",3,"R1",61.79,"Luz"
"150","11","P4","11",3,"R2",78.49,"Luz"
"151","11","P4","11",3,"R3",96.99,"Luz"
"152","11","P4","12",3,"R1",24.83,"Luz"
